#NAME?,RF AUSTRIA GVT BMK BID YLD 10Y - RED. YIELD,RF BELGIUM GVT BMK BID YLD 10Y - RED. YIELD,RF CYPRUS GVT BMK BID YLD 10Y - RED. YIELD,RF GERMANY GVT BMK BID YLD 10Y - RED. YIELD,RF SPAIN GVT BMK BID YLD 10Y - RED. YIELD,RF FINLAND GVT BMK BID YLD 10Y - RED. YIELD,RF FRANCE GVT BMK BID YLD 10Y - RED. YIELD,RF GREECE GVT BMK BID YLD 10Y - RED. YIELD,RF IRELAND GVT BMK BID YLD 10Y - RED. YIELD,RF ITALY GVT BMK BID YLD 10Y - RED. YIELD,RF LITHUANIA GVT BMK BID YLD 10Y - RED. YIELD,#ERROR,RF LATVIA GVT BMK BID YLD 10Y DISC - RED. YIELD,RF MALTA GVT BMK BID YLD 10Y - RED. YIELD,RF NETHERLANDS GVT BMK BID YLD 10Y - RED. YIELD,RF PORTUGAL GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVENIA GVT BMK BID YLD 10Y - RED. YIELD,RF SLOVAKIA GVT BMK BID YLD 10Y - RED. YIELD,RFV DEM 6M IRS 10Y - MIDDLE RATE,
02-01-2023,3.085,3.067,4.231,2.447,3.526,3.061,2.989,4.657,2.967,4.562,4.65,,0.549,3.289,2.798,3.473,3.753,3.592,3.073,
03-01-2023,3.015,2.98,4.222,2.376,3.443,2.954,2.905,4.616,2.91,4.48,4.65,,0.549,3.255,2.724,3.403,3.646,3.474,2.993,
04-01-2023,2.893,2.868,4.176,2.279,3.321,2.883,2.792,4.511,2.783,4.294,4.65,,0.549,3.084,2.626,3.283,3.592,3.337,2.88,
05-01-2023,2.925,2.899,4.213,2.308,3.366,2.891,2.82,4.449,2.829,4.329,4.65,,0.549,3.107,2.655,3.32,3.559,3.38,2.9275,
06-01-2023,2.825,2.804,4.213,2.209,3.26,2.891,2.716,4.449,2.713,4.214,4.65,,0.549,3.11,2.566,3.225,3.557,3.38,2.842,
09-01-2023,2.837,2.817,4.142,2.214,3.258,2.813,2.715,4.452,2.719,4.167,4.65,,0.549,3.059,2.562,3.195,3.512,3.292,2.856,
10-01-2023,2.923,2.885,3.997,2.301,3.329,2.903,2.798,4.376,2.782,4.21,4.65,,0.549,3.052,2.64,3.26,3.492,3.372,2.918,
11-01-2023,2.801,2.755,3.919,2.185,3.198,2.747,2.678,4.194,2.629,4.045,4.65,,0.549,3.014,2.504,3.122,3.366,3.21,2.787,
12-01-2023,2.75,2.685,3.759,2.132,3.149,2.698,2.623,4.045,2.585,3.993,4.65,,0.549,2.885,2.456,3.081,3.259,3.111,2.7015,
13-01-2023,2.742,2.693,4.19,2.143,3.149,2.724,2.621,4.087,2.592,3.986,4.65,,0.549,2.874,2.455,3.075,3.202,3.161,2.724,
16-01-2023,2.757,2.717,4.336,2.195,3.159,2.743,2.64,4.147,2.6,4.014,4.65,,0.549,2.913,2.484,3.095,3.28,3.157,2.723,
17-01-2023,2.66,2.627,4.253,2.089,3.062,2.614,2.538,4.178,2.486,3.89,4.65,,0.549,2.92,2.396,3.002,3.251,3.005,2.636,
18-01-2023,2.557,2.526,4.047,2.008,2.945,2.498,2.436,3.998,2.41,3.736,4.65,,0.549,2.816,2.306,2.881,3.092,2.976,2.606,
19-01-2023,2.606,2.563,4.069,2.053,3.017,2.566,2.483,4.032,2.447,3.772,4.65,,0.549,2.705,2.345,2.909,3.104,2.993,2.63,
20-01-2023,2.732,2.705,4.2,2.171,3.155,2.677,2.62,4.126,2.595,3.974,4.65,,0.549,2.771,2.477,3.057,3.165,3.111,2.747,
23-01-2023,2.76,2.832,4.021,2.201,3.197,2.724,2.655,4.2,2.625,4.017,4.65,,0.549,2.856,2.501,3.095,3.243,3.172,2.799,
24-01-2023,2.717,2.785,3.894,2.159,3.129,2.698,2.596,4.264,2.57,3.92,4.65,,0.549,2.887,2.463,3.032,3.258,3.055,2.773,
25-01-2023,2.717,2.788,3.887,2.158,3.146,2.686,2.603,4.264,2.583,4.088,4.65,,0.549,2.817,2.472,3.042,3.184,3.08,2.773,
26-01-2023,2.79,2.866,3.889,2.214,3.215,2.766,2.678,4.216,2.665,4.163,4.65,,0.549,2.836,2.532,3.103,3.306,3.16,2.806,
27-01-2023,2.813,2.911,3.939,2.245,3.268,2.789,2.71,4.265,2.691,4.231,4.65,,0.549,2.94,2.562,3.162,3.409,3.193,2.832,
30-01-2023,2.897,2.987,3.983,2.306,3.346,2.852,2.776,4.307,2.799,4.312,4.65,,0.549,2.94,2.629,3.237,3.478,3.228,2.901,
31-01-2023,2.906,2.931,3.974,2.276,3.319,2.828,2.744,4.317,2.743,4.266,4.65,,0.549,2.964,2.608,3.197,3.493,3.19,2.873,
01-02-2023,2.919,2.945,3.992,2.291,3.337,2.841,2.76,4.31,2.728,4.291,4.65,,0.549,2.932,2.616,3.222,3.428,3.194,2.851,
